"year";"to_country";"performer";"song";"place_contest";"sf_num";"running_final";"running_sf";"place_final";"points_final";"place_sf";"points_sf";"points_tele_final";"points_jury_final";"points_tele_sf";"points_jury_sf";"composers"
2000;"Estonia";"Ines";"Once In A Lifetime";4;NA;4;NA;4;98;NA;NA;NA;NA;NA;NA;"Alar Kotkas;Ilmar Laisaar;Pearu Paulus"
2000;"Germany";"Stefan Raab";"Wadde Hadde Dudde Da";5;NA;15;NA;5;96;NA;NA;NA;NA;NA;NA;"Stefan Raab"
2000;"Ireland";"Eamonn Toal";"Millennium Of Love";6;NA;23;NA;6;92;NA;NA;NA;NA;NA;NA;"Gerry Simpson"
2000;"Sweden";"Roger Pontare";"When Spirits Are Calling My Name";7;NA;18;NA;7;88;NA;NA;NA;NA;NA;NA;"Linda Jansson;Peter Dahl;Thomas Holmstrand"
2000;"Malta";"Claudette Pace";"Desire";8;NA;7;NA;8;73;NA;NA;NA;NA;NA;NA;"Philip Vella"
2000;"Croatia";"Goran Karan";"Kada Zaspu Andeli";9;NA;17;NA;9;70;NA;NA;NA;NA;NA;NA;"Neno Ninčević;Nikša Bratoš;Zdenko Runjić"
2000;"Turkey";"Pinar Ayhan & S.O.S. band";"Yorgunum Anla";10;NA;22;NA;10;59;NA;NA;NA;NA;NA;NA;"Sühan Ayhan"
2000;"Norway";"Charmed";"My Heart Goes Boom";11;NA;8;NA;11;57;NA;NA;NA;NA;NA;NA;"Morten Henriksen;Tore Madsen"
2000;"Iceland";"August & Telma";"Tell Me!";12;NA;12;NA;12;45;NA;NA;NA;NA;NA;NA;"Örlygur Smári"
2000;"Netherlands";"Linda Wagenmakers";"No Goodbyes";13;NA;2;NA;13;40;NA;NA;NA;NA;NA;NA;"John O'Hare"
2000;"Austria";"The rounder girls";"All To You";14;NA;24;NA;14;34;NA;NA;NA;NA;NA;NA;"Dave Moskin"
2000;"North Macedonia";"XXL";"100% Te Ljubam";15;NA;19;NA;15;29;NA;NA;NA;NA;NA;NA;"Dragan Karanfilovski"
2000;"United Kingdom";"Nicki French";"Don't Play That Song Again";16;NA;3;NA;16;28;NA;NA;NA;NA;NA;NA;"Gerry Shephard;John Springate"
2000;"Romania";"Taxi";"The Moon";17;NA;6;NA;17;25;NA;NA;NA;NA;NA;NA;"Dan Teodorescu"
2000;"Spain";"Serafín Zubiri";"Colgado De Un Sueño";18;NA;13;NA;18;18;NA;NA;NA;NA;NA;NA;"José María Purón"
2000;"Finland";"Nina Åström";"A Little Bit";18;NA;20;NA;18;18;NA;NA;NA;NA;NA;NA;"Luca Genta"
2000;"Switzerland";"Jane Bogaert";"La Vita Cos'è?";20;NA;16;NA;20;14;NA;NA;NA;NA;NA;NA;"Bernie Staub;Brigitte Schöb"
2000;"Cyprus";"Voice";"Nomiza";21;NA;11;NA;21;8;NA;NA;NA;NA;NA;NA;"Alexandros Panayi"
2000;"Israel";"Ping Pong";"Sa'me'akh";22;NA;1;NA;22;7;NA;NA;NA;NA;NA;NA;"Guy Assif;Ronen Ben-Tal;Roy Arad"
2000;"France";"Sofia Mestari";"On Aura Le Ciel";23;NA;5;NA;23;5;NA;NA;NA;NA;NA;NA;"Benoît Heinrich;Pierre Legay"
2000;"Belgium";"Nathalie Sorce";"Envie De Vivre";24;NA;10;NA;24;2;NA;NA;NA;NA;NA;NA;"Silvio Pezzuto"
2001;"Estonia";"Tanel Padar, Dave Benton & 2XL";"Everybody";1;NA;20;NA;1;198;NA;NA;NA;NA;NA;NA;"Ivar Must"
2001;"Denmark";"Rollo & King";"Never Ever Let You Go";2;NA;23;NA;2;177;NA;NA;NA;NA;NA;NA;"Søren Poppe"
2001;"Greece";"Antique";"Die For You";3;NA;22;NA;3;147;NA;NA;NA;NA;NA;NA;"Nikos Terzis"
2001;"France";"Natasha Saint-Pier";"Je N'ai Que Mon âme";4;NA;14;NA;4;142;NA;NA;NA;NA;NA;NA;"J. Kapler"
2001;"Sweden";"Friends";"Listen To Your Heartbeat";5;NA;7;NA;5;100;NA;NA;NA;NA;NA;NA;"Daniël Ditmar;Henrik Sethsson;John Terra;Thomas G:son"
2001;"Spain";"David Civera";"Dile Que La Quiero";6;NA;13;NA;6;76;NA;NA;NA;NA;NA;NA;"Alejandro Abad"
2001;"Slovenia";"Nua Derenda";"Energy";7;NA;17;NA;7;70;NA;NA;NA;NA;NA;NA;"Matjaž Vlašič"
2001;"Germany";"Michelle";"Wer Liebe Lebt";8;NA;19;NA;8;66;NA;NA;NA;NA;NA;NA;"Gino Trovatello;Matthias Stingl"
2001;"Malta";"Fabrizio Faniello";"Another Summer Night";9;NA;21;NA;9;48;NA;NA;NA;NA;NA;NA;"Paul Abela"
2001;"Croatia";"Vanna";"Strings Of My Heart";10;NA;10;NA;10;42;NA;NA;NA;NA;NA;NA;"Tonči Huljić"
2001;"Turkey";"Sedat Yüce";"Sevgiliye Son";11;NA;15;NA;11;41;NA;NA;NA;NA;NA;NA;"Semih Güneri"
2001;"Russia";"Mumiy troll";"Lady Alpine Blue";12;NA;6;NA;12;37;NA;NA;NA;NA;NA;NA;"Ilia Lagutenko"
2001;"Lithuania";"Skamp";"You Got Style";13;NA;8;NA;13;35;NA;NA;NA;NA;NA;NA;"Viktoras Diawara"
2001;"Bosnia & Herzegovina";"Nino";"Hano";14;NA;3;NA;14;29;NA;NA;NA;NA;NA;NA;"Nino Pršeš"
2001;"United Kingdom";"Lindsay D.";"No Dream Impossible";15;NA;16;NA;15;28;NA;NA;NA;NA;NA;NA;"Chris Winter;Russ Ballard"
2001;"Israel";"Tal Sondak";"Ein Davar";16;NA;5;NA;16;25;NA;NA;NA;NA;NA;NA;"Yair Klinger"
2001;"Portugal";"MTM";"Só Sei Ser Feliz Assim";17;NA;11;NA;17;18;NA;NA;NA;NA;NA;NA;"Marco Quelhas"
